Year	Month	Anomaly
1840	1	0.193
1840	2	-2.981
1840	3	-1.824
1840	4	-2.782
1840	5	-1.592
1840	6	-0.426
1840	7	-0.051
1840	8	-1.163
1840	9	0.071
1840	10	-2.095
1840	11	-1.247
1840	12	-6.443
1841	1	-1.159
1841	2	-5.453
1841	3	-0.826
1841	4	-0.753
1841	5	0.299
1841	6	3.038
1841	7	2.626
1841	8	1.683
1841	9	0.82
1841	10	1.739
1841	11	0.588
1841	12	1.136
1842	1	-2.246
1842	2	2.774
1842	3	-0.757
1842	4	-3.773
1842	5	0.107
1842	6	-1.78
1842	7	-0.33
1842	8	-0.225
1842	9	-1.251
1842	10	-1.815
1842	11	-0.199
1842	12	1.838
1843	1	5.271
1843	2	7.837
1843	3	0.147
1843	4	-2.572
1843	5	-3.961
1843	6	1.519
1843	7	-1.058
1843	8	-0.829
1843	9	-1.015
1843	10	0.903
1843	11	-0.42
1843	12	2.124
1844	1	1.868
1844	2	1.288
1844	3	-1.081
1844	4	-2.857
1844	5	1.801
1844	6	-2.353
1844	7	-0.609
1844	8	-0.207
1844	9	0.229
1844	10	-1.341
1844	11	-5.448
1844	12	-5.168
1845	1	3.228
1845	2	-4.928
1845	3	-4.906
1845	4	-4.292
1845	5	-3.158
1845	6	-1.726
1845	7	0.596
1845	8	-0.268
1845	9	-0.989
1845	10	-1.716
1845	11	1.952
1845	12	1.57
1846	1	0.832
1846	2	-0.401
1846	3	2.553
1846	4	-1.572
1846	5	-3.717
1846	6	-3.215
1846	7	1.05
1846	8	2.261
1846	9	-1.306
1846	10	0.886
1846	11	-1.462
1846	12	-0.658
1847	1	-0.594
1847	2	0.698
1847	3	-1.39
1847	4	-2.225
1847	5	-2.208
1847	6	0.453
1847	7	-1.333
1847	8	2.672
1847	9	3.483
1847	10	-0.382
1847	11	0.833
1847	12	-1.632
1848	1	-7.459
1848	2	4.172
1848	3	2.311
1848	4	4.736
1848	5	-0.903
1848	6	0.657
1848	7	0.717
1848	8	0.373
1848	9	0.676
1848	10	-0.195
1848	11	1.008
1848	12	-2.648
1849	1	-3.264
1849	2	2.22
1849	3	-0.743
1849	4	-3.548
1849	5	-1.807
1849	6	-1.483
1849	7	0.663
1849	8	-0.935
1849	9	-1.99
1849	10	0.441
1849	11	1.91
1849	12	-3.11
1850	1	-6.764
1850	2	1.126
1850	3	-2.44
1850	4	-3.288
1850	5	0.711
1850	6	1.069
1850	7	0.404
1850	8	2.973
1850	9	-1.3
1850	10	-2.291
1850	11	0.558
1850	12	1.734
1851	1	-0.279
1851	2	-2.933
1851	3	-3.494
1851	4	-0.01
1851	5	-0.151
1851	6	-1.295
1851	7	0.96
1851	8	0.174
1851	9	3.522
1851	10	0.502
1851	11	4.737
1851	12	2.638
1852	1	0.725
1852	2	-0.356
1852	3	-0.1
1852	4	-5.452
1852	5	-1.423
1852	6	1.459
1852	7	-2.558
1852	8	0.014
1852	9	-0.14
1852	10	-2.791
1852	11	-3.555
1852	12	1.001
1853	1	2.551
1853	2	2.372
1853	3	-1.691
1853	4	-2.422
1853	5	-0.679
1853	6	-1.163
1853	7	0.357
1853	8	-0.311
1853	9	-2.446
1853	10	1.728
1853	11	-0.392
1853	12	-1.325
1854	1	-4.033
1854	2	0.429
1854	3	-1.529
1854	4	-3.46
1854	5	3.075
1854	6	0.461
1854	7	1.188
1854	8	1.158
1854	9	-1.673
1854	10	1.807
1854	11	1.07
1854	12	4.031
1855	1	0.308
1855	2	-3.814
1855	3	-1.159
1855	4	0.408
1855	5	2.633
1855	6	1.908
1855	7	0.651
1855	8	-0.808
1855	9	-1.8
1855	10	1.212
1855	11	-1.141
1855	12	-6.96
1856	1	4.396
1856	2	-1.054
1856	3	-5.053
1856	4	-3.084
1856	5	0.449
1856	6	-0.147
1856	7	-0.847
1856	8	-3.546
1856	9	-0.876
1856	10	-2.601
1856	11	-3.096
1856	12	2.569
1857	1	1.895
1857	2	0.447
1857	3	2.835
1857	4	-1.23
1857	5	-2.317
1857	6	-1.225
1857	7	-1.581
1857	8	-0.759
1857	9	-2.983
1857	10	0.086
1857	11	-1.032
1857	12	1.739
1858	1	0.344
1858	2	-1.085
1858	3	-0.467
1858	4	-1.4
1858	5	1.703
1858	6	-1.16
1858	7	2.227
1858	8	-0.177
1858	9	0.252
1858	10	1.293
1858	11	-4.936
1858	12	0.077
1859	1	3.898
1859	2	3.492
1859	3	0.23
1859	4	0.453
1859	5	0.116
1859	6	1.813
1859	7	-0.569
1859	8	-0.122
1859	9	-0.084
1859	10	0.151
1859	11	0.719
1859	12	-0.1
1860	1	1.614
1860	2	-0.611
1860	3	-3.245
1860	4	0.203
1860	5	-0.842
1860	6	1.216
1860	7	0.802
1860	8	1.263
1860	9	1.605
1860	10	0.126
1860	11	-2.117
1860	12	-5.902
1861	1	-7.876
1861	2	0.772
1861	3	3.435
1861	4	-4.076
1861	5	-1.406
1861	6	-0.888
1861	7	2.653
1861	8	-0.097
1861	9	-0.398
1861	10	-1.628
1861	11	-0.143
1861	12	-1.158
1862	1	-6.41
1862	2	-6.436
1862	3	-0.45
1862	4	-0.628
1862	5	-1.795
1862	6	-0.543
1862	7	-0.388
1862	8	-1.947
1862	9	-0.532
1862	10	-1.609
1862	11	-4.146
1862	12	-5.997
1863	1	6.488
1863	2	3.52
1863	3	1.765
1863	4	-0.659
1863	5	0.712
1863	6	-1.402
1863	7	-1.791
1863	8	-0.086
1863	9	3.264
1863	10	0.383
1863	11	1.96
1863	12	0.92
1864	1	-0.663
1864	2	1.408
1864	3	2.262
1864	4	0.08
1864	5	-4.133
1864	6	2.916
1864	7	0.562
1864	8	-0.691
1864	9	-0.812
1864	10	-3.23
1864	11	-5.529
1864	12	-3.439
1865	1	3.576
1865	2	-3.504
1865	3	-2.413
1865	4	-2.365
1865	5	-1.498
1865	6	-3.438
1865	7	2.241
1865	8	-1.688
1865	9	-1.646
1865	10	-1.758
1865	11	1.274
1865	12	0.671
1866	1	6.004
1866	2	-2.341
1866	3	0.293
1866	4	-1.021
1866	5	-1.384
1866	6	1.137
1866	7	-0.251
1866	8	0.222
1866	9	3.406
1866	10	-2.886
1866	11	-0.605
1866	12	-0.744
1867	1	-0.158
1867	2	1.105
1867	3	-5.52
1867	4	-2.488
1867	5	-5.121
1867	6	-0.782
1867	7	0.087
1867	8	-1.532
1867	9	-1.676
1867	10	0.883
1867	11	-2.325
1867	12	-4.786
1868	1	-2.368
1868	2	-1.192
1868	3	0.731
1868	4	-1.742
1868	5	-1.18
1868	6	-0.809
1868	7	0.544
1868	8	1.986
1868	9	0.128
1868	10	1.412
1868	11	-2.429
1868	12	0.42
1869	1	-2.328
1869	2	5.007
1869	3	1.474
1869	4	-0.666
1869	5	-0.225
1869	6	0.191
1869	7	0.337
1869	8	2.469
1869	9	0.172
1869	10	0.497
1869	11	1.599
1869	12	2.169
1870	1	2.938
1870	2	-5.175
1870	3	0.227
1870	4	-0.672
1870	5	-1.844
1870	6	-1.302
1870	7	-0.643
1870	8	-1.888
1870	9	-1.688
